CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE
50116163,DOWNTOWN COFFEE HOUSE,Manhattan,26,JEFFERSON STREET,10002
50122983,Diane’s,Brooklyn,425,GRAHAM AVENUE,11211
50117669,EARLY EDITION,Manhattan,1260,BROADWAY,10001
50106287,WOORI NOODLE HOUSE,Queens,21510,NORTHERN BLVD,11361
50088114,DESI GRILL,Brooklyn,46,WYCKOFF AVENUE,11237
50125863,,Queens,13414,GUY R BREWER BLVD,11434
41692608,SWEET CHICK,Brooklyn,164,BEDFORD AVENUE,11249
50075156,ROMANTICOS,Queens,7607,ROOSEVELT AVE,11372
50057158,BLUE BOTTLE COFFEE,Brooklyn,203,7 AVENUE,11215
50087175,GREEN BLEND,Manhattan,387,8 AVENUE,10001
50065825,MIRANDA'S PUPUSERIA,Queens,90-40,160 STREET,11432
41488795,BRISAS DEL MAR SEAFOOD MARKET,Manhattan,1785-1787,LEXINGTON AVENUE,10029
50106189,LA GARRA CATRACHA,Queens,169-24,JAMAICA AVENUE,11432
50085932,ON,Manhattan,110,MADISON AVENUE,10016
50108265,KFC,Brooklyn,534,CONEY ISLAND AVENUE,11218
50109601,INSOMNIA COOKIES,Manhattan,125,CHURCH STREET,10007
50082931,IL MELOGRANO,Manhattan,501,WEST   51 STREET,10019
50098458,ARTECHOUSE,Manhattan,75,9 AVENUE,10011
41214353,STANDINGS,Manhattan,43,EAST    7 STREET,10003
50005643,NEW BOE LEE,Bronx,741,LYDIG AVENUE,10462
50043970,LA ISLA CUCHIFRITOS,Bronx,510,WILLIS AVENUE,10455
50077853,RETRO FITNESS,Brooklyn,325,AVENUE Y,11223
50070299,ALENBI KITCHEN,Brooklyn,887,NOSTRAND AVENUE,11225
50018919,HAPPY WORLD,Manhattan,1309,SAINT NICHOLAS AVENUE,10033
50054576,BURGER KING,Manhattan,474,7 AVENUE,10018
41362353,REVIVE (FOOD COURT BAR),Queens,0,JOHN F. KENNEDY INTL AIRPORT,11430
50097501,FAMOUS ROTISSERIE AND GRILL,Brooklyn,1525,MERMAID AVENUE,11224
50045348,MCDONALD'S,Manhattan,1499,3 AVENUE,10028
50090541,TOP CAFE TIBET,Brooklyn,1510,CORTELYOU ROAD,11226
50110473,NOW  HERE,Manhattan,40,WOOSTER STREET,10013
50071847,CIRCLE LINE LIBERTY (Sat and Sun in Fall),Manhattan,PIER 83,W 42ND ST,10036
50117636,SKINOS MEDITERRANEAN CUSINE,Manhattan,123,WASHINGTON STREET,10006
50077727,SABOR PERUANO RESTAURANT,Queens,9853,CORONA AVE,11368
50121329,,Queens,6629,MYRTLE AVE,11385
40400198,CABANA,Queens,10712,70 ROAD,11375
50005085,EL NUEVO TINA RESTAURANT,Manhattan,511,WEST  125 STREET,10027
50124917,,Manhattan,727,7 AVENUE,10019
41444899,CASA ASIA,Queens,14945,14 AVENUE,11357
50044720,"SENZAI SUSHI, LOBSTER SHRIMP ROLL BY AQUA GRILL",Manhattan,4,PENN PLZ,10121
50004322,RICO POLLO II RESTAURANT,Brooklyn,3352,FULTON STREET,11208
50125655,RONGWANG CANTONESE RESTAURANT,Queens,13651,ROOSEVELT AVE,11354
41502172,DUNKIN,Manhattan,19,RECTOR STREET,10006
